id,question,slug,description,outcomes,outcomePrices,volume,liquidity,startDate,endDate,closedTime,resolutionSource,tag_ids,tag_labels,clobTokenIds,side,probability7d,probability6d,probability5d,probability4d,probability3d,probability2d,probability1d,correct_at_7d,correct_at_1d
253591,Will Donald Trump win the 2024 US Presidential Election?,will-donald-trump-win-the-2024-us-presidential-election,"This market will resolve to “Yes” if Donald J. Trump wins the 2024 US Presidential Election. Otherwise, this market will resolve to “No.”

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate by the inauguration date (January 20, 2025) this market will resolve based on who is inaugurated.","[""Yes"", ""No""]","[""1"", ""0""]",1531479285.0,0,2024-01-04T22:58:00Z,2024-11-05T12:00:00Z,2024-11-06 15:17:41+00,,"[""126"", ""2"", ""1101"", ""214"", ""15"", ""24"", ""945"", ""382"", ""160"", ""26"", ""1104"", ""187"", ""1102"", ""142"", ""152"", ""177"", ""589"", ""176"", ""144"", ""1103"", ""185"", ""360"", ""57"", ""55"", ""704"", ""220"", ""100215"", ""101168""]","[""Trump"", ""Politics"", ""US Election"", ""hillary clinton"", ""Joe Biden"", ""USA Election"", ""michelle obama"", ""chris christie"", ""ron desantis"", ""republican party"", ""bernie sanders"", ""kanye west"", ""2024 us presidential election"", ""nikki haley"", ""democratic party"", ""gavin newsom"", ""us presidential election 2024"", ""us elections"", ""Elections"", ""aoc"", ""2024 election"", ""robert f. kennedy jr."", ""2024 presidential election"", ""vivek ramaswamy"", ""elizabeth warren"", ""kamala harris"", ""All"", ""potusbanner""]","[""21742633143463906290569050155826241533067272736897614950488156847949938836455"", ""48331043336612883890938759509493159234755048973500640148014422747788308965732""]",R,0.6585,0.6655,0.6475,0.6325,0.5825,0.5585,0.5635,True,True
253597,Will Kamala Harris win the 2024 US Presidential Election?,will-kamala-harris-win-the-2024-us-presidential-election,"This market will resolve to “Yes” if Kamala Harris wins the 2024 US Presidential Election. Otherwise, this market will resolve to “No.”

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate by the inauguration date (January 20, 2025) this market will resolve based on who is inaugurated.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.","[""Yes"", ""No""]","[""0"", ""1""]",1037039118.0,0,2024-01-04T23:02:00Z,2024-11-04T12:00:00Z,2024-11-06 18:03:54+00,,"[""2"", ""1101"", ""220"", ""1102"", ""382"", ""589"", ""126"", ""176"", ""55"", ""144"", ""57"", ""24"", ""945"", ""152"", ""704"", ""187"", ""214"", ""1104"", ""160"", ""185"", ""15"", ""1103"", ""177"", ""360"", ""26"", ""142"", ""100215"", ""101168""]","[""Politics"", ""US Election"", ""kamala harris"", ""2024 us presidential election"", ""chris christie"", ""us presidential election 2024"", ""Trump"", ""us elections"", ""vivek ramaswamy"", ""Elections"", ""2024 presidential election"", ""USA Election"", ""michelle obama"", ""democratic party"", ""elizabeth warren"", ""kanye west"", ""hillary clinton"", ""bernie sanders"", ""ron desantis"", ""2024 election"", ""Joe Biden"", ""aoc"", ""gavin newsom"", ""robert f. kennedy jr."", ""republican party"", ""nikki haley"", ""All"", ""potusbanner""]","[""69236923620077691027083946871148646972011131466059644796654161903044970987404"", ""87584955359245246404952128082451897287778571240979823316620093987046202296181""]",D,0.3485,0.3415,0.3345,0.352,0.368,0.4185,0.4415,True,True
253727,Kamala Harris wins the popular vote?,will-kamala-harris-win-the-popular-vote-in-the-2024-presidential-election,"This market will resolve to “Yes” if Kamala Harris is the candidate who receives the most votes in the 2024 U.S. presidential election, otherwise this market will resolve to “No.”

In case of a tie, this market will resolve in favor of the candidate whose last name comes first in alphabetical order.

The resolution source will be an overwhelming consensus of credible reporting as to who is the winner of the popular vote.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.
","[""Yes"", ""No""]","[""0"", ""1""]",163779786.6,0,2024-01-09T23:43:00Z,2024-11-05T12:00:00Z,2024-11-12 10:03:19+00,,"[""2"", ""144"", ""220"", ""57"", ""1199"", ""15"", ""26"", ""55"", ""187"", ""126"", ""177"", ""160"", ""271"", ""945"", ""339"", ""382"", ""142"", ""1201"", ""1104"", ""704"", ""1103"", ""214"", ""274"", ""168"", ""100215"", ""1101""]","[""Politics"", ""Elections"", ""kamala harris"", ""2024 presidential election"", ""Popular Vote"", ""Joe Biden"", ""republican party"", ""vivek ramaswamy"", ""kanye west"", ""Trump"", ""gavin newsom"", ""ron desantis"", ""democrats"", ""michelle obama"", ""election"", ""chris christie"", ""nikki haley"", ""voting"", ""bernie sanders"", ""elizabeth warren"", ""aoc"", ""hillary clinton"", ""presidential election 2024"", ""presidential election"", ""All"", ""US Election""]","[""21271000291843361249209065706097167029083067325856089903026951915683588703117"", ""43898019188443109254544011644141095748327433947336326565220861409147408981284""]",D,0.5705,0.5825,0.6135,0.6275,0.6845,0.739,0.741,False,False
253706,Will Donald Trump win the popular vote in the 2024 Presidential Election?,will-donald-trump-win-the-popular-vote-in-the-2024-presidential-election,"This market will resolve to “Yes” if Donald Trump is the candidate who receives the most votes in the 2024 U.S. presidential election, otherwise this market will resolve to “No.”

In case of a tie, this market will resolve in favor of the candidate whose last name comes first in alphabetical order.

The resolution source will be an overwhelming consensus of credible reporting as to who is the winner of the popular vote.","[""Yes"", ""No""]","[""1"", ""0""]",119932620.8,0,2024-01-09T23:37:00Z,2024-11-05T12:00:00Z,2024-11-11 22:30:39+00,,"[""126"", ""2"", ""339"", ""274"", ""1199"", ""214"", ""220"", ""945"", ""26"", ""55"", ""144"", ""177"", ""382"", ""160"", ""704"", ""271"", ""168"", ""1201"", ""57"", ""15"", ""1103"", ""1104"", ""142"", ""187"", ""100215"", ""1101""]","[""Trump"", ""Politics"", ""election"", ""presidential election 2024"", ""Popular Vote"", ""hillary clinton"", ""kamala harris"", ""michelle obama"", ""republican party"", ""vivek ramaswamy"", ""Elections"", ""gavin newsom"", ""chris christie"", ""ron desantis"", ""elizabeth warren"", ""democrats"", ""presidential election"", ""voting"", ""2024 presidential election"", ""Joe Biden"", ""aoc"", ""bernie sanders"", ""nikki haley"", ""kanye west"", ""All"", ""US Election""]","[""42699080635179861375280720242213672850141860123562672932351602811041149946128"", ""52646153159016006621189163812433115969858888637703551736022048114666679879653""]",R,0.4295,0.4185,0.3875,0.373,0.316,0.2585,0.2565,False,False
255152,Will a Republican win Pennsylvania Presidential Election?,will-a-republican-win-pennsylvania-presidential-election,"This market will resolve to ""Yes"" if a Republican candidate wins the popular vote in Pennsylvania in the 2024 US presidential election. Otherwise, this market will resolve to ""No"".

A candidate shall be considered to represent a party in the event that he or she is the nominee, or has a ballot-listed or otherwise identifiable party preference, of the party in question.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.
","[""Yes"", ""No""]","[""1"", ""0""]",12519682.45,0,2024-03-07T02:47:00Z,2024-11-05T12:00:00Z,2024-11-06 20:29:57+00,,"[""421"", ""2"", ""26"", ""144"", ""168"", ""271"", ""1605"", ""588"", ""100215"", ""100164"", ""1101""]","[""pennsylvania"", ""Politics"", ""republican party"", ""Elections"", ""presidential election"", ""democrats"", ""Swing States"", ""third party"", ""All"", ""State Presidential Election"", ""US Election""]","[""75951511934878014812323289513632732239356274541965522720897159608390126393735"", ""80692267952118231579739078214722079301718527753004959099480302005191158711065""]",R,0.61,0.625,0.615,0.595,0.555,0.485,0.555,True,True
255143,Will a Democrat win Michigan Presidential Election?,will-a-democrat-win-michigan-presidential-election,"This market will resolve to ""Yes"" if a Democratic candidate wins the popular vote in Michigan in the 2024 US presidential election. Otherwise, this market will resolve to ""No"".

A candidate shall be considered to represent a party in the event that he or she is the nominee, or has a ballot-listed or otherwise identifiable party preference, of the party in question.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.","[""Yes"", ""No""]","[""0"", ""1""]",10404102.08,0,2024-03-07T23:56:00Z,2024-11-05T12:00:00Z,2024-11-07 09:59:01+00,,"[""2"", ""144"", ""459"", ""820"", ""168"", ""26"", ""588"", ""1605"", ""100215"", ""100164"", ""1101""]","[""Politics"", ""Elections"", ""democrat"", ""michigan"", ""presidential election"", ""republican party"", ""third party"", ""Swing States"", ""All"", ""State Presidential Election"", ""US Election""]","[""67987395510317512691808452556846479650140447681921231570668523107587946046381"", ""85882747446059283518997350779572616984413802718247398490010754008042064685948""]",D,0.455,0.475,0.51,0.535,0.585,0.645,0.595,True,False
255144,Will a Republican win Michigan Presidential Election?,will-a-republican-win-michigan-presidential-election,"This market will resolve to ""Yes"" if a Republican candidate wins the popular vote in Michigan in the 2024 US presidential election. Otherwise, this market will resolve to ""No"".

A candidate shall be considered to represent a party in the event that he or she is the nominee, or has a ballot-listed or otherwise identifiable party preference, of the party in question.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.","[""Yes"", ""No""]","[""1"", ""0""]",8427215.035,0,2024-03-07T23:56:00Z,2024-11-05T12:00:00Z,2024-11-07 06:21:40+00,,"[""2"", ""820"", ""26"", ""144"", ""588"", ""168"", ""1605"", ""459"", ""100215"", ""100164"", ""1101""]","[""Politics"", ""michigan"", ""republican party"", ""Elections"", ""third party"", ""presidential election"", ""Swing States"", ""democrat"", ""All"", ""State Presidential Election"", ""US Election""]","[""105184348976114274990683066782141725521410345945023353024053078695238621958578"", ""15594057843994379010830396426972640810046245426525810058698162482005241757000""]",R,0.545,0.52,0.49,0.465,0.415,0.36,0.405,True,False
500615,Will a Republican win Arizona US Senate Election?,will-a-republican-win-arizona-us-senate-election,"United States general elections are scheduled to take place on November 5, 2024. Regular senate elections are presently scheduled for 33 states.

This market will resolve to “Yes” if the candidate who wins the 2024 Arizona US Senate election is a Republican. Otherwise, this market will resolve to ""No"".

A candidate shall be considered to represent a party in the event that he or she is the nominee, or has a ballot-listed or otherwise identifiable party preference, of the party in question.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.","[""Yes"", ""No""]","[""0"", ""1""]",8258327.187,0,2024-04-03T21:42:09.743Z,2024-11-05T12:00:00Z,2024-11-12 10:39:27+00,,"[""418"", ""375"", ""341"", ""188"", ""789"", ""2"", ""100215"", ""100199"", ""100526"", ""100527"", ""431"", ""1101""]","[""u.s. senate"", ""u.s. election"", ""senates"", ""U.S. Politics"", ""US Politics"", ""Politics"", ""All"", ""Senate"", ""gallego"", ""lake"", ""kari lake"", ""US Election""]","[""46691825198205945656026007456894335541255549782914167592137952460021454784449"", ""79276436359828295026049170967517943932138990338843874789225895410237452024""]",R,0.21,0.265,0.265,0.265,0.265,0.245,0.215,True,True
254600,House control after 2024 election?,house-control-after-2024-election,"The 2024 United States House elections will be held on November 5, 2024, with all 435 seats in the House being contested.

This market will resolve to ""Democratic"" if following the 2024 U.S. House elections, the majority of voting House members are Democrats. It will resolve to ""Republican"" under the same conditions for Republicans.

A candidate's party is determined by their ballot-listed or otherwise identifiable affiliation with that party.

If the outcome of this election is ambiguous given the above rules, this market will remain open until the Speaker of the US House is selected following the 2024 US general election, at which point it will resolve to the party the Speaker is affiliated with / intends to caucus with at the time of their election to that position.

Determination of which party controls the House after the 2024 US House elections will be based on a consensus of credible reporting, or if there is ambiguity, final federal and/or state election authority certification or other final official determination of the 2024 election results.","[""Democratic"", ""Republican""]","[""0"", ""1""]",7967497.858,0,2024-02-21T22:15:29.648Z,2024-11-05T00:00:00Z,2024-11-22 02:57:04+00,,"[""144"", ""185"", ""487"", ""2"", ""789"", ""24"", ""100215"", ""100344"", ""1101""]","[""Elections"", ""2024 election"", ""house of representatives"", ""Politics"", ""US Politics"", ""USA Election"", ""All"", ""House Races"", ""US Election""]","[""101855562831265107203442419096879190899859816025360403919576363159629903511162"", ""52305181636507151858662345358653712096897417621314252379525645226272149566924""]",D,0.495,0.49,0.465,0.445,0.475,0.53,0.535,True,False
500614,Will a Democrat win Arizona US Senate Election?,will-a-democrat-win-arizona-us-senate-election,"United States general elections are scheduled to take place on November 5, 2024. Regular senate elections are presently scheduled for 33 states.

This market will resolve to “Yes” if the candidate who wins the 2024 Arizona US Senate election is a Democrat. Otherwise, this market will resolve to ""No"".

A candidate shall be considered to represent a party in the event that he or she is the nominee, or has a ballot-listed or otherwise identifiable party preference, of the party in question.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.","[""Yes"", ""No""]","[""1"", ""0""]",6754633.943,0,2024-04-03T21:42:04.216Z,2024-11-05T12:00:00Z,2024-11-12 10:39:23+00,,"[""341"", ""188"", ""418"", ""2"", ""789"", ""375"", ""100215"", ""100199"", ""100526"", ""100527"", ""431"", ""1101""]","[""senates"", ""U.S. Politics"", ""u.s. senate"", ""Politics"", ""US Politics"", ""u.s. election"", ""All"", ""Senate"", ""gallego"", ""lake"", ""kari lake"", ""US Election""]","[""104418202650000003466724307383826189852812346194106831978945737070954365347089"", ""18774476248896549691678360856198707466024027698380587795158227245793286303542""]",D,0.79,0.735,0.735,0.735,0.74,0.76,0.77,True,True
