id,question,slug,description,outcomes,outcomePrices,volume,liquidity,startDate,endDate,closedTime,resolutionSource,tag_ids,tag_labels,clobTokenIds
538932,Will Zohran Mamdani win the 2025 NYC mayoral election?,will-zohran-mamdani-win-the-2025-nyc-mayoral-election,"The 2025 New York City mayoral election will be held on November 4, 2025, to elect the mayor of New York City.

This market will resolve according to the candidate that wins the election.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate, this market will resolve based on official certification.","[""Yes"", ""No""]","[""1"", ""0""]",143254859.334333,0,2025-04-22T16:10:05.987Z,2025-11-04T12:00:00Z,2025-11-05 05:44:47+00,,"[""851"", ""102148"", ""101206"", ""101252"", ""100664"", ""2"", ""102788"", ""102786""]","[""nyc"", ""NYC Mayor"", ""World Elections"", ""Macro Election 2"", ""mayor"", ""Politics"", ""Mayoral Elections"", ""Nov 4 Elections""]","[""33945469250963963541781051637999677727672635213493648594066577298999471399137"", ""105832362350788616148612362642992403996714020918558917275151746177525518770551""]"
538930,Will Curtis Sliwa win the 2025 NYC mayoral election?,will-curtis-sliwa-win-the-2025-nyc-mayoral-election,"The 2025 New York City mayoral election will be held on November 4, 2025, to elect the mayor of New York City.

This market will resolve according to the candidate that wins the election.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate, this market will resolve based on official certification.","[""Yes"", ""No""]","[""0"", ""1""]",60402049.764981,0,2025-04-22T16:09:30.103Z,2025-11-04T12:00:00Z,2025-11-05 06:13:17+00,,"[""851"", ""102148"", ""101206"", ""101252"", ""100664"", ""2"", ""102788"", ""102786""]","[""nyc"", ""NYC Mayor"", ""World Elections"", ""Macro Election 2"", ""mayor"", ""Politics"", ""Mayoral Elections"", ""Nov 4 Elections""]","[""106645483208866512069057468273735379467092160028743318106715987586591689242591"", ""42541673615301895829890290486226257940966769125829226067368474110048691276042""]"
538931,Will Jim Walden win the 2025 NYC mayoral election?,will-jim-walden-win-the-2025-nyc-mayoral-election,"The 2025 New York City mayoral election will be held on November 4, 2025, to elect the mayor of New York City.

This market will resolve according to the candidate that wins the election.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate, this market will resolve based on official certification.","[""Yes"", ""No""]","[""0"", ""1""]",49207581.601009,0,2025-04-22T16:09:49.101Z,2025-11-04T12:00:00Z,2025-11-05 06:14:21+00,,"[""851"", ""102148"", ""101206"", ""101252"", ""100664"", ""2"", ""102788"", ""102786""]","[""nyc"", ""NYC Mayor"", ""World Elections"", ""Macro Election 2"", ""mayor"", ""Politics"", ""Mayoral Elections"", ""Nov 4 Elections""]","[""10142872462975275995759595767341515402450823584364917228661247714894341308969"", ""3323369066986882543667397158587005084279170216331985235105089642033395785032""]"
538929,Will Andrew Cuomo win the 2025 NYC mayoral election?,will-andrew-cuomo-win-the-2025-nyc-mayoral-election,"The 2025 New York City mayoral election will be held on November 4, 2025, to elect the mayor of New York City.

This market will resolve according to the candidate that wins the election.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate, this market will resolve based on official certification.","[""Yes"", ""No""]","[""0"", ""1""]",48755937.180665,0,2025-04-22T16:08:59.912Z,2025-11-04T12:00:00Z,2025-11-05 05:56:23+00,,"[""851"", ""102148"", ""101206"", ""101252"", ""100664"", ""2"", ""102788"", ""102786""]","[""nyc"", ""NYC Mayor"", ""World Elections"", ""Macro Election 2"", ""mayor"", ""Politics"", ""Mayoral Elections"", ""Nov 4 Elections""]","[""72685162394098505217895638060393901041260225434938300730127268362092284806692"", ""104468181147316868388088006861839293041095272602974154655578369735976654024471""]"
538935,Will Brad Lander win the 2025 NYC mayoral election?,will-brad-lander-win-the-2025-nyc-mayoral-election,"The 2025 New York City mayoral election will be held on November 4, 2025, to elect the mayor of New York City.

This market will resolve according to the candidate that wins the election.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate, this market will resolve based on official certification.","[""Yes"", ""No""]","[""0"", ""1""]",29246888.170365,0,2025-04-22T16:11:19.586Z,2025-11-04T12:00:00Z,2025-11-05 06:13:17+00,,"[""851"", ""102148"", ""101206"", ""101252"", ""100664"", ""2"", ""102788"", ""102786""]","[""nyc"", ""NYC Mayor"", ""World Elections"", ""Macro Election 2"", ""mayor"", ""Politics"", ""Mayoral Elections"", ""Nov 4 Elections""]","[""107994222693888332350594321437565759480970489245315274952274526225090527223452"", ""86276176424193199952319562933712391529470598474997569381838450216892159705728""]"
538928,Will Eric Adams win the 2025 NYC mayoral election?,will-eric-adams-win-the-2025-nyc-mayoral-election,"The 2025 New York City mayoral election will be held on November 4, 2025, to elect the mayor of New York City.

This market will resolve according to the candidate that wins the election.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate, this market will resolve based on official certification.","[""Yes"", ""No""]","[""0"", ""1""]",24498006.503446,0,2025-04-22T16:08:39.801Z,2025-11-04T12:00:00Z,2025-11-05 06:12:19+00,,"[""851"", ""102148"", ""101206"", ""101252"", ""100664"", ""2"", ""102788"", ""102786""]","[""nyc"", ""NYC Mayor"", ""World Elections"", ""Macro Election 2"", ""mayor"", ""Politics"", ""Mayoral Elections"", ""Nov 4 Elections""]","[""12541509255877010177934715422358422748052378132651567836811989084820478865881"", ""557149893577824223387740663828120572195409127574902734254512226734855221907""]"
538933,Will Zellnor Myrie win the 2025 NYC mayoral election?,will-zellnor-myrie-win-the-2025-nyc-mayoral-election,"The 2025 New York City mayoral election will be held on November 4, 2025, to elect the mayor of New York City.

This market will resolve according to the candidate that wins the election.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate, this market will resolve based on official certification.","[""Yes"", ""No""]","[""0"", ""1""]",19383661.523146,0,2025-04-22T16:10:30.187Z,2025-11-04T12:00:00Z,2025-11-05 06:13:17+00,,"[""851"", ""102148"", ""101206"", ""101252"", ""100664"", ""2"", ""102788"", ""102786""]","[""nyc"", ""NYC Mayor"", ""World Elections"", ""Macro Election 2"", ""mayor"", ""Politics"", ""Mayoral Elections"", ""Nov 4 Elections""]","[""55884804341323163081862707843263700693738797133263124566745524807248098283303"", ""70543677871159064963469424763337788416462449399568068876334555574186951531744""]"
538938,Will Rudy Giuliani win the 2025 NYC mayoral election?,will-rudy-giuliani-win-the-2025-nyc-mayoral-election,"The 2025 New York City mayoral election will be held on November 4, 2025, to elect the mayor of New York City.

This market will resolve according to the candidate that wins the election.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate, this market will resolve based on official certification.","[""Yes"", ""No""]","[""0"", ""1""]",17399211.228589,0,2025-04-22T16:12:59.527Z,2025-11-04T12:00:00Z,2025-11-05 06:14:19+00,,"[""851"", ""102148"", ""101206"", ""101252"", ""100664"", ""2"", ""102788"", ""102786""]","[""nyc"", ""NYC Mayor"", ""World Elections"", ""Macro Election 2"", ""mayor"", ""Politics"", ""Mayoral Elections"", ""Nov 4 Elections""]","[""51164577972035972988892794112016124157750802533821532809596766862584634093827"", ""101220485112105135644481023074628420224133188294295260216260547081708650256926""]"
538937,Will Adrienne Adams win the 2025 NYC mayoral election?,will-adrienne-adams-win-the-2025-nyc-mayoral-election,"The 2025 New York City mayoral election will be held on November 4, 2025, to elect the mayor of New York City.

This market will resolve according to the candidate that wins the election.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate, this market will resolve based on official certification.","[""Yes"", ""No""]","[""0"", ""1""]",17172736.263185,0,2025-04-22T16:12:26.715Z,2025-11-04T12:00:00Z,2025-11-05 06:14:21+00,,"[""851"", ""102148"", ""101206"", ""101252"", ""100664"", ""2"", ""102788"", ""102786""]","[""nyc"", ""NYC Mayor"", ""World Elections"", ""Macro Election 2"", ""mayor"", ""Politics"", ""Mayoral Elections"", ""Nov 4 Elections""]","[""83589115771257514900800483387722673779168274433252283685938231208812677061123"", ""4011246458579224227208630729731147864725423038850000038771471515382855936783""]"
538936,Will Andrew Yang win the 2025 NYC mayoral election?,will-andrew-yang-win-the-2025-nyc-mayoral-election,"The 2025 New York City mayoral election will be held on November 4, 2025, to elect the mayor of New York City.

This market will resolve according to the candidate that wins the election.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate, this market will resolve based on official certification.","[""Yes"", ""No""]","[""0"", ""1""]",9355140.22698,0,2025-04-22T16:11:54.258Z,2025-11-04T12:00:00Z,2025-11-05 06:15:25+00,,"[""851"", ""102148"", ""101206"", ""101252"", ""100664"", ""2"", ""102788"", ""102786""]","[""nyc"", ""NYC Mayor"", ""World Elections"", ""Macro Election 2"", ""mayor"", ""Politics"", ""Mayoral Elections"", ""Nov 4 Elections""]","[""26501705029652709125818883573943620834066216635228353828040435702613030653956"", ""99870665022528355396913171426026959340519687744784717779272904192740945459606""]"
