id,question,slug,description,outcomes,outcomePrices,volume,liquidity,startDate,endDate,closedTime,resolutionSource,tag_ids,tag_labels,clobTokenIds
253591,Will Donald Trump win the 2024 US Presidential Election?,will-donald-trump-win-the-2024-us-presidential-election,"This market will resolve to “Yes” if Donald J. Trump wins the 2024 US Presidential Election. Otherwise, this market will resolve to “No.”

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate by the inauguration date (January 20, 2025) this market will resolve based on who is inaugurated.","[""Yes"", ""No""]","[""1"", ""0""]",1531479284.504353,0,2024-01-04T22:58:00Z,2024-11-05T12:00:00Z,2024-11-06 15:17:41+00,,"[""126"", ""2"", ""1101"", ""214"", ""15"", ""24"", ""945"", ""382"", ""160"", ""26"", ""1104"", ""187"", ""1102"", ""142"", ""152"", ""177"", ""589"", ""176"", ""144"", ""1103"", ""185"", ""360"", ""57"", ""55"", ""704"", ""220"", ""100215"", ""101168""]","[""Trump"", ""Politics"", ""US Election"", ""hillary clinton"", ""Joe Biden"", ""USA Election"", ""michelle obama"", ""chris christie"", ""ron desantis"", ""republican party"", ""bernie sanders"", ""kanye west"", ""2024 us presidential election"", ""nikki haley"", ""democratic party"", ""gavin newsom"", ""us presidential election 2024"", ""us elections"", ""Elections"", ""aoc"", ""2024 election"", ""robert f. kennedy jr."", ""2024 presidential election"", ""vivek ramaswamy"", ""elizabeth warren"", ""kamala harris"", ""All"", ""potusbanner""]","[""21742633143463906290569050155826241533067272736897614950488156847949938836455"", ""48331043336612883890938759509493159234755048973500640148014422747788308965732""]"
253597,Will Kamala Harris win the 2024 US Presidential Election?,will-kamala-harris-win-the-2024-us-presidential-election,"This market will resolve to “Yes” if Kamala Harris wins the 2024 US Presidential Election. Otherwise, this market will resolve to “No.”

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate by the inauguration date (January 20, 2025) this market will resolve based on who is inaugurated.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.","[""Yes"", ""No""]","[""0"", ""1""]",1037039118.18879,0,2024-01-04T23:02:00Z,2024-11-04T12:00:00Z,2024-11-06 18:03:54+00,,"[""2"", ""1101"", ""220"", ""1102"", ""382"", ""589"", ""126"", ""176"", ""55"", ""144"", ""57"", ""24"", ""945"", ""152"", ""704"", ""187"", ""214"", ""1104"", ""160"", ""185"", ""15"", ""1103"", ""177"", ""360"", ""26"", ""142"", ""100215"", ""101168""]","[""Politics"", ""US Election"", ""kamala harris"", ""2024 us presidential election"", ""chris christie"", ""us presidential election 2024"", ""Trump"", ""us elections"", ""vivek ramaswamy"", ""Elections"", ""2024 presidential election"", ""USA Election"", ""michelle obama"", ""democratic party"", ""elizabeth warren"", ""kanye west"", ""hillary clinton"", ""bernie sanders"", ""ron desantis"", ""2024 election"", ""Joe Biden"", ""aoc"", ""gavin newsom"", ""robert f. kennedy jr."", ""republican party"", ""nikki haley"", ""All"", ""potusbanner""]","[""69236923620077691027083946871148646972011131466059644796654161903044970987404"", ""87584955359245246404952128082451897287778571240979823316620093987046202296181""]"
253642,Will any other Republican Politician win the 2024 US Presidential Election?,will-any-other-republican-politician-win-the-2024-us-presidential-election,"This market will resolve to “Yes” if any other Republican Politician other than Donald J. Trump, Nikki Haley, Robert F. Kennedy Jr., Ron DeSantis, Vivek Ramaswamy, and Chris Christie wins. Otherwise this market will resolve to “No.”

For the purposes of this market a Republican Politician is defined as an individual who has held elected office at either the state or federal level (i.e. including but not limited to US Senator, US Representative, Governor, Lieutenant Governor, State Senator, State Representative) and runs as a Republican for the 2024 US Presidential election. 

If their affiliation changes to Independent or a party other than Republican before election day, the individual will not be considered as a Republican Politician.","[""Yes"", ""No""]","[""0"", ""1""]",241655099.850067,0,2024-01-06T20:13:00Z,2024-11-05T00:00:00Z,2024-11-06 19:45:36+00,,"[""2"", ""589"", ""26"", ""152"", ""144"", ""55"", ""24"", ""945"", ""214"", ""187"", ""160"", ""704"", ""220"", ""176"", ""360"", ""177"", ""1101"", ""126"", ""382"", ""1103"", ""1102"", ""15"", ""1104"", ""185"", ""142"", ""57"", ""100215"", ""101168""]","[""Politics"", ""us presidential election 2024"", ""republican party"", ""democratic party"", ""Elections"", ""vivek ramaswamy"", ""USA Election"", ""michelle obama"", ""hillary clinton"", ""kanye west"", ""ron desantis"", ""elizabeth warren"", ""kamala harris"", ""us elections"", ""robert f. kennedy jr."", ""gavin newsom"", ""US Election"", ""Trump"", ""chris christie"", ""aoc"", ""2024 us presidential election"", ""Joe Biden"", ""bernie sanders"", ""2024 election"", ""nikki haley"", ""2024 presidential election"", ""All"", ""potusbanner""]","[""87935798830831555521299232238121934560977823768906296045917813721531790174443"", ""57677804490585887398706024193987529955099603362215749525873675088072565146041""]"
253727,Kamala Harris wins the popular vote?,will-kamala-harris-win-the-popular-vote-in-the-2024-presidential-election,"This market will resolve to “Yes” if Kamala Harris is the candidate who receives the most votes in the 2024 U.S. presidential election, otherwise this market will resolve to “No.”

In case of a tie, this market will resolve in favor of the candidate whose last name comes first in alphabetical order.

The resolution source will be an overwhelming consensus of credible reporting as to who is the winner of the popular vote.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.
","[""Yes"", ""No""]","[""0"", ""1""]",163779786.645492,0,2024-01-09T23:43:00Z,2024-11-05T12:00:00Z,2024-11-12 10:03:19+00,,"[""2"", ""144"", ""220"", ""57"", ""1199"", ""15"", ""26"", ""55"", ""187"", ""126"", ""177"", ""160"", ""271"", ""945"", ""339"", ""382"", ""142"", ""1201"", ""1104"", ""704"", ""1103"", ""214"", ""274"", ""168"", ""100215"", ""1101""]","[""Politics"", ""Elections"", ""kamala harris"", ""2024 presidential election"", ""Popular Vote"", ""Joe Biden"", ""republican party"", ""vivek ramaswamy"", ""kanye west"", ""Trump"", ""gavin newsom"", ""ron desantis"", ""democrats"", ""michelle obama"", ""election"", ""chris christie"", ""nikki haley"", ""voting"", ""bernie sanders"", ""elizabeth warren"", ""aoc"", ""hillary clinton"", ""presidential election 2024"", ""presidential election"", ""All"", ""US Election""]","[""21271000291843361249209065706097167029083067325856089903026951915683588703117"", ""43898019188443109254544011644141095748327433947336326565220861409147408981284""]"
253609,Will Michelle Obama win the 2024 US Presidential Election?,will-michelle-obama-win-the-2024-us-presidential-election,"This market will resolve to “Yes” if Michelle Obama wins the 2024 US Presidential Election. Otherwise, this market will resolve to “No.”

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate by the inauguration date (January 20, 2025) this market will resolve based on who is inaugurated.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.","[""Yes"", ""No""]","[""0"", ""1""]",153382275.618594,0,2024-01-05T22:01:00Z,2024-11-05T00:00:00Z,2024-11-06 19:00:15+00,,"[""2"", ""1101"", ""945"", ""126"", ""55"", ""160"", ""1104"", ""589"", ""220"", ""360"", ""382"", ""214"", ""1102"", ""24"", ""1103"", ""187"", ""185"", ""144"", ""176"", ""57"", ""152"", ""142"", ""704"", ""177"", ""26"", ""15"", ""100215"", ""101168""]","[""Politics"", ""US Election"", ""michelle obama"", ""Trump"", ""vivek ramaswamy"", ""ron desantis"", ""bernie sanders"", ""us presidential election 2024"", ""kamala harris"", ""robert f. kennedy jr."", ""chris christie"", ""hillary clinton"", ""2024 us presidential election"", ""USA Election"", ""aoc"", ""kanye west"", ""2024 election"", ""Elections"", ""us elections"", ""2024 presidential election"", ""democratic party"", ""nikki haley"", ""elizabeth warren"", ""gavin newsom"", ""republican party"", ""Joe Biden"", ""All"", ""potusbanner""]","[""97508453625137094121006941885029334584603955750917059456402541591996493525667"", ""101835693390914207034008670272805414453671321042882880939287726647351186404691""]"
253595,Will Robert F. Kennedy Jr. win the 2024 US Presidential Election?,will-robert-f-kennedy-jr-win-the-2024-us-presidential-election,"This market will resolve to “Yes” if Robert F. Kennedy Jr. wins the 2024 US Presidential Election. Otherwise, this market will resolve to “No.”

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate by the inauguration date (January 20, 2025) this market will resolve based on who is inaugurated.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.","[""Yes"", ""No""]","[""0"", ""1""]",141605110.748029,0,2024-01-04T23:01:00Z,2024-11-04T12:00:00Z,2024-11-06 18:09:00+00,,"[""2"", ""589"", ""360"", ""57"", ""1104"", ""55"", ""176"", ""187"", ""1103"", ""177"", ""144"", ""945"", ""152"", ""24"", ""704"", ""382"", ""214"", ""15"", ""160"", ""185"", ""126"", ""1101"", ""26"", ""1102"", ""142"", ""220"", ""100215"", ""101168""]","[""Politics"", ""us presidential election 2024"", ""robert f. kennedy jr."", ""2024 presidential election"", ""bernie sanders"", ""vivek ramaswamy"", ""us elections"", ""kanye west"", ""aoc"", ""gavin newsom"", ""Elections"", ""michelle obama"", ""democratic party"", ""USA Election"", ""elizabeth warren"", ""chris christie"", ""hillary clinton"", ""Joe Biden"", ""ron desantis"", ""2024 election"", ""Trump"", ""US Election"", ""republican party"", ""2024 us presidential election"", ""nikki haley"", ""kamala harris"", ""All"", ""potusbanner""]","[""75551890681049796405776295654438099776333571510662809052054780589218524237663"", ""56404905393055211239795086916790918063008904529043139446524120756836481670648""]"
253706,Will Donald Trump win the popular vote in the 2024 Presidential Election?,will-donald-trump-win-the-popular-vote-in-the-2024-presidential-election,"This market will resolve to “Yes” if Donald Trump is the candidate who receives the most votes in the 2024 U.S. presidential election, otherwise this market will resolve to “No.”

In case of a tie, this market will resolve in favor of the candidate whose last name comes first in alphabetical order.

The resolution source will be an overwhelming consensus of credible reporting as to who is the winner of the popular vote.","[""Yes"", ""No""]","[""1"", ""0""]",119932620.818624,0,2024-01-09T23:37:00Z,2024-11-05T12:00:00Z,2024-11-11 22:30:39+00,,"[""126"", ""2"", ""339"", ""274"", ""1199"", ""214"", ""220"", ""945"", ""26"", ""55"", ""144"", ""177"", ""382"", ""160"", ""704"", ""271"", ""168"", ""1201"", ""57"", ""15"", ""1103"", ""1104"", ""142"", ""187"", ""100215"", ""1101""]","[""Trump"", ""Politics"", ""election"", ""presidential election 2024"", ""Popular Vote"", ""hillary clinton"", ""kamala harris"", ""michelle obama"", ""republican party"", ""vivek ramaswamy"", ""Elections"", ""gavin newsom"", ""chris christie"", ""ron desantis"", ""elizabeth warren"", ""democrats"", ""presidential election"", ""voting"", ""2024 presidential election"", ""Joe Biden"", ""aoc"", ""bernie sanders"", ""nikki haley"", ""kanye west"", ""All"", ""US Election""]","[""42699080635179861375280720242213672850141860123562672932351602811041149946128"", ""52646153159016006621189163812433115969858888637703551736022048114666679879653""]"
253641,Will any other Democratic Politician win the 2024 US Presidential Election?,will-any-other-democratic-politician-win-the-2024-us-presidential-election,"This market will resolve to “Yes” if any other Democratic Politician other than Joe Biden, Gavin Newsom, Robert F. Kennedy Jr., Kamala Harris, Michelle Obama, Hillary Clinton, AOC, Bernie Sanders, and Elizabeth Warren wins. Otherwise this market will resolve to “No.”

For the purposes of this market a Democratic Politician is defined as an individual who has held elected office at either the state or federal level (i.e. including but not limited to US Senator, US Representative, Governor, Lieutenant Governor, State Senator, State Representative) and runs as a Democrat for the 2024 US Presidential election. 

If their affiliation changes to Independent or a party other than Democrat before election day, the individual will not be considered as a Democratic Politician.","[""Yes"", ""No""]","[""0"", ""1""]",116558196.386525,0,2024-01-06T20:13:00Z,2024-11-05T00:00:00Z,2024-11-06 19:54:53+00,,"[""2"", ""1101"", ""152"", ""177"", ""15"", ""1102"", ""1104"", ""589"", ""24"", ""187"", ""360"", ""55"", ""126"", ""144"", ""160"", ""220"", ""382"", ""214"", ""704"", ""176"", ""1103"", ""57"", ""26"", ""142"", ""185"", ""945"", ""100215"", ""101168""]","[""Politics"", ""US Election"", ""democratic party"", ""gavin newsom"", ""Joe Biden"", ""2024 us presidential election"", ""bernie sanders"", ""us presidential election 2024"", ""USA Election"", ""kanye west"", ""robert f. kennedy jr."", ""vivek ramaswamy"", ""Trump"", ""Elections"", ""ron desantis"", ""kamala harris"", ""chris christie"", ""hillary clinton"", ""elizabeth warren"", ""us elections"", ""aoc"", ""2024 presidential election"", ""republican party"", ""nikki haley"", ""2024 election"", ""michelle obama"", ""All"", ""potusbanner""]","[""74706296939809671893768905246606398708802232875822379413753245164957842209130"", ""103543247440804352548620987887141435213865749546518237928636621721195722919525""]"
253593,Will Nikki Haley win the 2024 US Presidential Election?,will-nikki-haley-win-the-2024-us-presidential-election,"This market will resolve to “Yes” if Nikki Haley wins the 2024 US Presidential Election. Otherwise, this market will resolve to “No.”

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate by the inauguration date (January 20, 2025) this market will resolve based on who is inaugurated.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.","[""Yes"", ""No""]","[""0"", ""1""]",107529158.083605,0,2024-01-04T22:58:00Z,2024-11-05T00:00:00Z,2024-11-06 18:04:10+00,,"[""142"", ""1102"", ""2"", ""144"", ""214"", ""1101"", ""704"", ""177"", ""185"", ""382"", ""26"", ""176"", ""1103"", ""55"", ""24"", ""187"", ""945"", ""1104"", ""152"", ""15"", ""126"", ""220"", ""360"", ""160"", ""57"", ""589"", ""100215"", ""101168""]","[""nikki haley"", ""2024 us presidential election"", ""Politics"", ""Elections"", ""hillary clinton"", ""US Election"", ""elizabeth warren"", ""gavin newsom"", ""2024 election"", ""chris christie"", ""republican party"", ""us elections"", ""aoc"", ""vivek ramaswamy"", ""USA Election"", ""kanye west"", ""michelle obama"", ""bernie sanders"", ""democratic party"", ""Joe Biden"", ""Trump"", ""kamala harris"", ""robert f. kennedy jr."", ""ron desantis"", ""2024 presidential election"", ""us presidential election 2024"", ""All"", ""potusbanner""]","[""19083349462791593334532840548890602187185739923311385087650426802477691161360"", ""25663677275476030658483179785762851061160843737234225579491314980654272946621""]"
253610,Will Hillary Clinton win the 2024 US Presidential Election?,will-hillary-clinton-win-the-2024-us-presidential-election,"This market will resolve to “Yes” if Hillary Clinton wins the 2024 US Presidential Election. Otherwise, this market will resolve to “No.”

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate by the inauguration date (January 20, 2025) this market will resolve based on who is inaugurated.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.","[""Yes"", ""No""]","[""0"", ""1""]",93307167.686999,0,2024-01-05T22:01:00Z,2024-11-05T00:00:00Z,2024-11-06 19:45:30+00,,"[""2"", ""1101"", ""214"", ""1102"", ""126"", ""144"", ""360"", ""15"", ""57"", ""24"", ""152"", ""704"", ""1104"", ""1103"", ""945"", ""589"", ""177"", ""176"", ""26"", ""185"", ""142"", ""382"", ""55"", ""187"", ""220"", ""160"", ""100215"", ""101168""]","[""Politics"", ""US Election"", ""hillary clinton"", ""2024 us presidential election"", ""Trump"", ""Elections"", ""robert f. kennedy jr."", ""Joe Biden"", ""2024 presidential election"", ""USA Election"", ""democratic party"", ""elizabeth warren"", ""bernie sanders"", ""aoc"", ""michelle obama"", ""us presidential election 2024"", ""gavin newsom"", ""us elections"", ""republican party"", ""2024 election"", ""nikki haley"", ""chris christie"", ""vivek ramaswamy"", ""kanye west"", ""kamala harris"", ""ron desantis"", ""All"", ""potusbanner""]","[""79316691944049488812500733050438507204613781002222375264046442941003895009475"", ""81996907021530768903266356962155871449963890840127658427020993407290924449685""]"
