id,question,slug,description,outcomes,outcomePrices,volume,liquidity,startDate,endDate,closedTime,resolutionSource,tag_ids,tag_labels,clobTokenIds
255198,Will a candidate from another party win Virginia Presidential Election?,will-a-candidate-from-another-party-win-virginia-presidential-election,"This market will resolve to ""Yes"" if a candidate from neither the Democratic nor Republican parties wins the popular vote in Virginia in the 2024 US presidential election. Otherwise, this market will resolve to ""No"".

A candidate shall be considered to represent a party in the event that he or she is the nominee, or has a ballot-listed or otherwise identifiable party preference, of the party in question.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.","[""Yes"", ""No""]","[""0"", ""1""]",10128418.660898,0,2024-03-28T21:00:09.405Z,2024-11-05T12:00:00Z,2024-11-06 09:35:47+00,,"[""2"", ""100164"", ""100215""]","[""Politics"", ""State Presidential Election"", ""All""]","[""64970547082044122314358581282478773510082323677156821666082597053930008252692"", ""97804444239027577772816218652006049032177105541071669332591382552865006690590""]"
255103,Will a candidate from another party win Illinois Presidential Election?,will-a-candidate-from-another-party-win-illinois-presidential-election,"This market will resolve to ""Yes"" if a candidate from neither the Democratic nor Republican parties wins the popular vote in Illinois in the 2024 US presidential election. Otherwise, this market will resolve to ""No"".

A candidate shall be considered to represent a party in the event that he or she is the nominee, or has a ballot-listed or otherwise identifiable party preference, of the party in question.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.","[""Yes"", ""No""]","[""0"", ""1""]",9443651.744845,0,2024-03-28T20:20:52.19Z,2024-11-05T12:00:00Z,2024-11-06 15:59:35+00,,"[""2"", ""100164"", ""100215""]","[""Politics"", ""State Presidential Election"", ""All""]","[""110534593269339350463273442811660619279495115214127663427217902156998777333654"", ""45998530107670657744496564856548050012046823323338669071523066974664634905484""]"
255175,Will a candidate from another party win Texas Presidential Election?,will-a-candidate-from-another-party-win-texas-presidential-election,"This market will resolve to ""Yes"" if a candidate from neither the Democratic nor Republican parties wins the popular vote in Texas in the 2024 US presidential election. Otherwise, this market will resolve to ""No"".

A candidate shall be considered to represent a party in the event that he or she is the nominee, or has a ballot-listed or otherwise identifiable party preference, of the party in question.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.
","[""Yes"", ""No""]","[""0"", ""1""]",7693577.100653,0,2024-03-19T15:52:30.83Z,2024-11-05T00:00:00Z,2024-11-06 12:10:48+00,,"[""100215"", ""100164"", ""2""]","[""All"", ""State Presidential Election"", ""Politics""]","[""9090802704342411809255988198152094152484606165338314288332630091255276101659"", ""76134831613718671230083735738339713172746299031958258835594972790716965440403""]"
255196,Will a Republican win Virginia Presidential Election?,will-a-republican-win-virginia-in-the-2024-us-presidential-election,"This market will resolve to ""Yes"" if a Republican candidate wins the popular vote in Virginia in the 2024 US presidential election. Otherwise, this market will resolve to ""No"".

A candidate shall be considered to represent a party in the event that he or she is the nominee, or has a ballot-listed or otherwise identifiable party preference, of the party in question.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.","[""Yes"", ""No""]","[""0"", ""1""]",5686644.973209,0,2024-03-28T20:08:23.924Z,2024-11-05T12:00:00Z,2024-11-06 09:10:32+00,,"[""100164"", ""2"", ""100215""]","[""State Presidential Election"", ""Politics"", ""All""]","[""12492345628750728733117864804710670673000799233202537945402703429199967167327"", ""98655764136912778102383796145657646896499703812579130341823339710060217043232""]"
500516,Will a candidate from another party win New York Presidential Election?,will-a-candidate-from-another-party-win-new-york-presidential-election-2024,"This market will resolve to ""Yes"" if a candidate from neither the Democratic nor Republican parties wins the popular vote in New York in the 2024 US presidential election. Otherwise, this market will resolve to ""No"".

A candidate shall be considered to represent a party in the event that he or she is the nominee, or has a ballot-listed or otherwise identifiable party preference, of the party in question.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.","[""Yes"", ""No""]","[""0"", ""1""]",4776418.440215,0,2024-03-28T20:52:53.025Z,2024-11-05T12:00:00Z,2024-11-06 15:29:25+00,,"[""2"", ""100164"", ""176"", ""100215"", ""100345""]","[""Politics"", ""State Presidential Election"", ""us elections"", ""All"", ""New York""]","[""107893877117172651337633861305942172920549944485389185799482514017983614676951"", ""86880762101401386532499499551168760751416168057555342511375236617186871984326""]"
255191,Will a Democrat win Virginia Presidential Election?,will-a-democrat-win-virginia-in-the-2024-us-presidential-election,"This market will resolve to ""Yes"" if a Democratic candidate wins the popular vote in Virginia in the 2024 US presidential election. Otherwise, this market will resolve to ""No"".

A candidate shall be considered to represent a party in the event that he or she is the nominee, or has a ballot-listed or otherwise identifiable party preference, of the party in question.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.","[""Yes"", ""No""]","[""1"", ""0""]",4684337.336559,0,2024-03-28T20:08:09.157Z,2024-11-05T12:00:00Z,2024-11-06 09:00:42+00,,"[""2"", ""100164"", ""100215""]","[""Politics"", ""State Presidential Election"", ""All""]","[""27523375682021765390588187766633015068126055655405967473976256668819938305564"", ""100012098696512710839019980186408856624583838884974450954169454065204180810679""]"
255082,Will a Democrat win Florida in the 2024 US Presidential Election?,will-a-democrat-win-florida-in-the-2024-us-presidential-election,"This market will resolve to ""Yes"" if a Democratic candidate wins the popular vote in Florida in the 2024 US presidential election. Otherwise, this market will resolve to ""No"".

A candidate shall be considered to represent a party in the event that he or she is the nominee, or has a ballot-listed or otherwise identifiable party preference, of the party in question.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.","[""Yes"", ""No""]","[""0"", ""1""]",4610012.907838,0,2024-03-19T21:26:25.033Z,2024-11-05T12:00:00Z,2024-11-06 10:05:34+00,,"[""2"", ""100215"", ""100346"", ""100164""]","[""Politics"", ""All"", ""Florida"", ""State Presidential Election""]","[""12114007747517340384640770826667371719468965613575901863343538277669045189268"", ""42931484859503950946156195721873929060179594500552644597117140385769630841228""]"
255084,Will a candidate from another party win Florida Presidential Election?,will-a-candidate-from-another-party-win-florida-presidential-election,"This market will resolve to ""Yes"" if a candidate from neither the Democratic nor Republican parties wins the popular vote in Florida in the 2024 US presidential election. Otherwise, this market will resolve to ""No"".

A candidate shall be considered to represent a party in the event that he or she is the nominee, or has a ballot-listed or otherwise identifiable party preference, of the party in question.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.","[""Yes"", ""No""]","[""0"", ""1""]",4469545.40658,0,2024-03-19T21:26:21.726Z,2024-11-05T00:00:00Z,2024-11-06 10:29:54+00,,"[""2"", ""100215"", ""100346"", ""100164""]","[""Politics"", ""All"", ""Florida"", ""State Presidential Election""]","[""52992166502451164365193740990950282432449117079746426144349831800207221048654"", ""91775399510919891581288480282723273367689114955028479212215398007601236679888""]"
255083,Will a Republican win Florida in the 2024 US Presidential Election?,will-a-republican-win-florida-in-the-2024-us-presidential-election,"This market will resolve to ""Yes"" if a Republican candidate wins the popular vote in Florida in the 2024 US presidential election. Otherwise, this market will resolve to ""No"".

A candidate shall be considered to represent a party in the event that he or she is the nominee, or has a ballot-listed or otherwise identifiable party preference, of the party in question.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.","[""Yes"", ""No""]","[""1"", ""0""]",4017509.787587,0,2024-03-19T21:26:17.68Z,2024-11-05T12:00:00Z,2024-11-06 10:15:02+00,,"[""2"", ""100215"", ""100346"", ""100164""]","[""Politics"", ""All"", ""Florida"", ""State Presidential Election""]","[""98021166935117039411751630581502824091054448039251810280365647472625878604011"", ""24428179421778642925238549045985174108302551459497422477934158540719687045975""]"
500515,Will a Republican win New York Presidential Election?,will-a-republican-win-new-york-presidential-election,"This market will resolve to ""Yes"" if a Republican candidate wins the popular vote in New York in the 2024 US presidential election. Otherwise, this market will resolve to ""No"".

A candidate shall be considered to represent a party in the event that he or she is the nominee, or has a ballot-listed or otherwise identifiable party preference, of the party in question.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.
","[""Yes"", ""No""]","[""0"", ""1""]",3741373.574091,0,2024-03-28T20:52:46.813Z,2024-11-05T12:00:00Z,2024-11-06 15:19:17+00,,"[""100164"", ""176"", ""2"", ""100215"", ""100345""]","[""State Presidential Election"", ""us elections"", ""Politics"", ""All"", ""New York""]","[""14074899245279883968821293264759723333204074453646392727272579405506036984241"", ""68303508318422415197110180721803122878521366793211275338322543690618184693765""]"
